Date,Title,URL
"January 19, 2025","Remarks by President Biden on the Ceasefire and Hostage Deal | North Charleston, SC",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/19/remarks-by-president-biden-on-the-ceasefire-and-hostage-deal-north-charleston-sc/
"January 19, 2025",Remarks by President Biden on Reaching a Ceasefire and Hostage Deal,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/19/remarks-by-president-biden-on-reaching-a-ceasefire-and-hostage-deal/
"January 16, 2025","Remarks by President Biden at Department of Defense Commander in Chief Farewell Ceremony | Fort Myer, VA",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/16/remarks-by-president-biden-at-department-of-defense-commander-in-chief-farewell-ceremony-fort-myer-va/
"January 15, 2025",Remarks by President Biden and Secretary of State Antony Blinken on the Administration’s Work to Strengthen America and Lead the World,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/15/remarks-by-president-biden-and-secretary-of-state-antony-blinken-on-the-administrations-work-to-strengthen-america-and-lead-the-world/
"December 08, 2024",Remarks by President Biden on the Latest Developments in Syria,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/12/08/remarks-by-president-biden-on-the-latest-developments-in-syria/
"December 04, 2024","Remarks by President Biden Participating in the Lobito Corridor Trans-Africa Summit | Benguela, Angola",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/12/04/remarks-by-president-biden-participating-in-the-lobito-corridor-trans-africa-summit-benguela-angola/
"December 03, 2024","Remarks by President Biden and President João Lourenço of Angola Before Bilateral Meeting | Luanda, Angola",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/12/03/remarks-by-president-biden-and-president-joao-lourenco-of-angola-before-bilateral-meeting-luanda-angola/
"December 03, 2024","Remarks by President Biden Honoring the Past and Future of the Angolan-U.S. Relationship | Belas, Angola",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/12/03/remarks-by-president-biden-honoring-the-past-and-future-of-the-angolan-u-s-relationship-belas-angola/
"December 03, 2024",Background Press Gaggle on President Biden’s Meeting with President Lourenço of Angola,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/12/03/background-press-gaggle-on-president-bidens-meeting-with-president-lourenco-of-angola/
"November 26, 2024",Remarks by President Biden Announcing Cessation of Hostilities Between Israel and Hezbollah,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/26/remarks-by-president-biden-announcing-cessation-of-hostilities-between-israel-and-hezbollah/
"November 25, 2024",Remarks by President Biden at Pardoning of the National Turkey,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/25/remarks-by-president-biden-at-pardoning-of-the-national-turkey-3/
"November 18, 2024","Remarks by President Biden During the First Session of the G20 Summit | Rio de Janeiro, Brazil",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/18/remarks-by-president-biden-during-the-first-session-of-the-g20-summit-rio-de-janeiro-brazil/
"November 17, 2024","Remarks by President Biden in Statement to Press | Manaus, Brazil",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/17/remarks-by-president-biden-in-statement-to-press-manaus-brazil/
"November 16, 2024","Remarks by President Biden and President Xi Jinping of the People’s Republic of China Before Bilateral Meeting | Lima, Peru",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/16/remarks-by-president-biden-and-president-xi-jinping-of-the-peoples-republic-of-china-before-bilateral-meeting-lima-peru/
"November 15, 2024","Remarks by President Biden and President Dina Boluarte Zegarra of the Republic of Peru in Bilateral Meeting | Lima, Peru",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/15/remarks-by-president-biden-and-president-dina-boluarte-zegarra-of-the-republic-of-peru-in-bilateral-meeting-lima-peru/
"November 15, 2024","Remarks by President Biden, Prime Minister Ishiba Shigeru of Japan, and President Yoon Suk Yeol of the Republic of Korea in Trilateral Meeting | Lima, Peru",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/15/remarks-by-president-biden-prime-minister-ishiba-shigeru-of-japan-and-president-yoon-suk-yeol-of-the-republic-of-korea-in-trilateral-meeting-lima-peru/
"November 12, 2024",Remarks by President Biden and President Prabowo Subianto of Indonesia Before Bilateral Meeting,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/12/remarks-by-president-biden-and-president-prabowo-subianto-of-indonesia-before-bilateral-meeting/
"November 12, 2024",Remarks by President Biden and President Isaac Herzog of the State of Israel Before a Meeting,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/11/12/remarks-by-president-biden-and-president-isaac-herzog-of-the-state-of-israel-before-a-meeting/
"October 31, 2024",Remarks by President Biden and President Nikos Christodoulides of the Republic of Cyprus Before Bilateral Meeting,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/31/remarks-by-president-biden-and-president-nikos-christodoulides-of-the-republic-of-cyprus-before-bilateral-meeting/
"October 22, 2024",Remarks by President Biden and Prime Minister Robert Golob of the Republic of Slovenia Before Bilateral Meeting,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/22/remarks-by-president-biden-and-prime-minister-robert-golob-of-the-republic-of-slovenia-before-bilateral-meeting/
"October 18, 2024","Remarks by President Biden Before Air Force One Departure | Schönefeld, Germany",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/18/remarks-by-president-biden-before-air-force-one-departure-schonefeld-germany/
"October 18, 2024","Remarks by President Biden and Chancellor Olaf Scholz of Germany in Joint Statements to the Press | Berlin, Germany",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/18/remarks-by-president-biden-and-chancellor-olaf-scholz-of-germany-in-joint-statements-to-the-press-berlin-germany/
"October 18, 2024","Remarks by President Biden and President Frank-Walter Steinmeier of Germany at an Order of Merit Ceremony | Berlin, Germany",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/18/remarks-by-president-biden-and-president-frank-walter-steinmeier-of-germany-at-an-order-of-merit-ceremony-berlin-germany/
"October 17, 2024","Remarks by President Biden After Air Force One Arrival | Schönefeld, Germany",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/10/17/remarks-by-president-biden-after-air-force-one-arrival-schonefeld-germany/
"September 25, 2024","Remarks by President Biden and First Lady Jill Biden at the United Nations General Assembly Leaders’ Reception | New York, NY",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/09/25/remarks-by-president-biden-and-first-lady-jill-biden-at-the-united-nations-general-assembly-leaders-reception-new-york-ny/
"September 25, 2024","Remarks by President Biden and General Secretary Tô Lâm of Vietnam Before Bilateral Meeting | New York, NY",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/09/25/remarks-by-president-biden-and-general-secretary-to-lam-of-vietnam-before-bilateral-meeting-new-york-ny/
