Date,Title,URL
"January 19, 2025","Remarks by President Biden on the Ceasefire and Hostage Deal | North Charleston, SC",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/19/remarks-by-president-biden-on-the-ceasefire-and-hostage-deal-north-charleston-sc/
"January 19, 2025","Remarks by President Biden During Service at Royal Missionary Baptist Church | North Charleston, SC",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/19/remarks-by-president-biden-during-service-at-royal-missionary-baptist-church-north-charleston-sc/
"January 19, 2025",Remarks by President Biden on Reaching a Ceasefire and Hostage Deal,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/19/remarks-by-president-biden-on-reaching-a-ceasefire-and-hostage-deal/
"January 16, 2025","Remarks by President Biden at Department of Defense Commander in Chief Farewell Ceremony | Fort Myer, VA",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/16/remarks-by-president-biden-at-department-of-defense-commander-in-chief-farewell-ceremony-fort-myer-va/
"January 15, 2025",Remarks by President Biden in a Farewell Address to the Nation,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/15/remarks-by-president-biden-in-a-farewell-address-to-the-nation/
"January 15, 2025",Remarks by President Biden Establishing the Chuckwalla National Monument and the Sáttítla Highlands National Monument in California,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/15/remarks-by-president-biden-establishing-the-chuckwalla-national-monument-and-the-sattitla-highlands-national-monument-in-california/
"January 15, 2025",Remarks by President Biden and Secretary of State Antony Blinken on the Administration’s Work to Strengthen America and Lead the World,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/15/remarks-by-president-biden-and-secretary-of-state-antony-blinken-on-the-administrations-work-to-strengthen-america-and-lead-the-world/
"January 14, 2025","Remarks by President Biden, Vice President Harris, and Senior White House and Administration Officials During Briefing on the Full Federal Response to the Wildfires Across Los Angeles",https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/14/remarks-by-president-biden-vice-president-harris-and-senior-white-house-and-administration-officials-during-briefing-on-the-full-federal-response-to-the-wildfires-across-los-angeles/
"January 10, 2025",Remarks by President Biden on Jobs Report and the State of the Economy,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/10/remarks-by-president-biden-on-jobs-report-and-the-state-of-the-economy/
"January 10, 2025",Remarks by President Biden and Vice President Harris Before Briefing on the Full Federal Response to the Wildfires Across Los Angeles,https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2025/01/10/remarks-by-president-biden-and-vice-president-harris-before-briefing-on-the-full-federal-response-to-the-wildfires-across-los-angeles/
