Date,Title,URL
"January 17, 2025, 18:00",Press conference following Russian-Iranian talks,http://en.kremlin.ru/events/president/transcripts/76126
"January 17, 2025, 17:20",Talks with President of Iran Masoud Pezeshkian,http://en.kremlin.ru/events/president/transcripts/76125
"January 16, 2025, 15:30",Talks with President of the Central African Republic Faustin-Archange Touadera,http://en.kremlin.ru/events/president/transcripts/76114
"December 26, 2024, 16:30",The Supreme Eurasian Economic Council Meeting,http://en.kremlin.ru/events/president/transcripts/75948
"December 25, 2024, 13:45",Informal CIS heads of state meeting,http://en.kremlin.ru/events/president/transcripts/75942
"December 24, 2024, 21:15",Meeting with President of Tajikistan Emomali Rahmon,http://en.kremlin.ru/events/president/transcripts/75940
"December 11, 2024, 19:05",AI Journey international conference,http://en.kremlin.ru/events/president/transcripts/75830
"December 9, 2024, 17:10",Meeting with chairmen of parliaments of CSTO member states,http://en.kremlin.ru/events/president/transcripts/75810
"December 6, 2024, 17:20",Media statements by the Presidents of Russia and Belarus,http://en.kremlin.ru/events/president/transcripts/75782
"November 28, 2024, 12:30",Speech at a restricted attendance meeting of the CSTO Collective Security Council,http://en.kremlin.ru/events/president/transcripts/75687
"November 27, 2024, 21:00",Press statements by President of Russia and President of Kazakhstan,http://en.kremlin.ru/events/president/transcripts/75684
"November 27, 2024, 19:10",Russia-Kazakhstan Interregional Cooperation Forum,http://en.kremlin.ru/events/president/transcripts/75683
"November 27, 2024, 18:30",Beginning of Russia-Kazakhstan talks in expanded format,http://en.kremlin.ru/events/president/transcripts/75682
"November 27, 2024, 16:00",Beginning of restricted-format Russia-Kazakhstan talks,http://en.kremlin.ru/events/president/transcripts/75680
"November 27, 2024, 00:00","Article by Vladimir Putin in the Kazakhstanskaya Pravda newspaper, Russia – Kazakhstan: a Forward-Looking Alliance Demanded by Life",http://en.kremlin.ru/events/president/transcripts/75671
"October 24, 2024, 23:15",Meeting with Prime Minister of Vietnam Pham Minh Chinh,http://en.kremlin.ru/events/president/transcripts/75392
"October 24, 2024, 20:10",Meeting with President of the State of Palestine Mahmoud Abbas,http://en.kremlin.ru/events/president/transcripts/75387
"October 24, 2024, 19:20",News conference following 16th BRICS Summit,http://en.kremlin.ru/events/president/transcripts/75385
"October 24, 2024, 14:25",BRICS Plus/Outreach plenary session at the 16th BRICS Summit,http://en.kremlin.ru/events/president/transcripts/75384
"October 23, 2024, 20:20",Gala reception in honour of the BRICS Summit,http://en.kremlin.ru/events/president/transcripts/75379
"October 23, 2024, 17:15",Meeting with President of Venezuela Nicolas Maduro,http://en.kremlin.ru/events/president/transcripts/75377
"October 23, 2024, 16:05",Meeting with President of Iran Masoud Pezeshkian,http://en.kremlin.ru/events/president/transcripts/75376
"October 23, 2024, 14:50",Expanded meeting of the BRICS Summit,http://en.kremlin.ru/events/president/transcripts/75375
"October 23, 2024, 10:55",Restricted-format meeting of the BRICS Summit,http://en.kremlin.ru/events/president/transcripts/75374
"October 22, 2024, 22:10",Meeting with President of Egypt Abdel Fattah el-Sisi,http://en.kremlin.ru/events/president/transcripts/75372
"October 22, 2024, 17:10",Meeting with President of the People’s Republic of China Xi Jinping,http://en.kremlin.ru/events/president/transcripts/75370
"October 22, 2024, 15:20",Meeting with President of South Africa Cyril Ramaphosa,http://en.kremlin.ru/events/president/transcripts/75369
"October 22, 2024, 13:45",Meeting with Prime Minister of India Narendra Modi,http://en.kremlin.ru/events/president/transcripts/75368
"October 21, 2024, 13:35",Russia-UAE talks,http://en.kremlin.ru/events/president/transcripts/75360
"October 20, 2024, 20:00",Informal meeting with President of the UAE Sheikh Mohamed bin Zayed Al Nahyan,http://en.kremlin.ru/events/president/transcripts/75357
"October 20, 2024, 19:00",Video address to the participants of the opening ceremony of the Kyrgyzstan Culture Days in Russia,http://en.kremlin.ru/events/president/transcripts/75354
"October 18, 2024, 17:50",Meeting with journalists from BRICS countries,http://en.kremlin.ru/events/president/transcripts/75349
"October 18, 2024, 12:15",BRICS Business Forum,http://en.kremlin.ru/events/president/transcripts/75347
"October 17, 2024, 19:30",Meeting with President of the Asian Chess Federation Sheikh Sultan Bin Khalifa Al Nahyan,http://en.kremlin.ru/events/president/transcripts/75342
"October 17, 2024, 18:45",Plenary session of the Russia – Country of Sports International Forum,http://en.kremlin.ru/events/president/transcripts/75341
"October 11, 2024, 14:15",Meeting with Speaker of Halk Maslahaty (People’s Council) of Turkmenistan Gurbanguly Berdimuhamedov,http://en.kremlin.ru/events/president/transcripts/75308
"October 11, 2024, 12:45",Meeting with President of Iran Masoud Pezeshkian,http://en.kremlin.ru/events/president/transcripts/75306
"October 11, 2024, 10:15",Plenary meeting of the Interrelation of Times and Civilisations – Basis of Peace and Development international forum,http://en.kremlin.ru/events/president/transcripts/75303
"October 9, 2024, 15:15",Ceremony for presenting the Order of St Andrew the Apostle the First-Called to President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/75292
"October 9, 2024, 14:15",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/75291
"October 8, 2024, 17:15",Speeches at the expanded meeting of the CIS Heads of State,http://en.kremlin.ru/events/president/transcripts/75290
"October 8, 2024, 15:10",Address at a restricted-format meeting of the CIS Heads of State Council,http://en.kremlin.ru/events/president/transcripts/75289
"October 8, 2024, 13:45",Meeting with Prime Minister of Armenia Nikol Pashinyan,http://en.kremlin.ru/events/president/transcripts/75286
"October 8, 2024, 12:24",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/75284
